Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
4(1),,,7.55,0.26,,
4(1),,,0.22,0.26,,
4(1),,,5.19,0.26,,
4(1),,,0.25,0.25,,
4(1),,,5.58,0.26,,
4(1),,,5.44,0.26,,
7(0),,,0.26,0.15,,
4(1),,,4.57,0.26,,
6(0),,,5.47,0.13,,
6(0),,,0.45,3.23,,
5(1),,,0.33,0.27,,
5(0),,,6.91,0.12,,
4(0),,,0.38,0.12,,
4(1),,,0.4,0.36,,
4(1),,,0.2,0.39,,
7(1),,,0.28,0.5,,
6(0),,,0.33,0.14,,
6(0),,,0.39,0.16,,
3(0),,,0.17,0.17,,
7(0),,,0.28,0.19,,
11(0),,,0.61,0.44,,
8(2),,,0.57,0.51,,
5(0),,,0.2,0.15,,
9(1),,,0.36,0.4,,
10(1),,,0.52,0.63,,
10(1),,,0.48,0.68,,
8(0),,,4.01,0.35,,
13(4),,,0.35,2.38,,
4(1),,,0.23,0.27,,
5(0),,,0.22,0.11,,
3(0),,,0.23,0.09,,
8(1),,,0.31,0.4,,
10(1),,,0.37,0.41,,
7(0),,,4.31,0.15,,
9(1),,,0.38,0.34,,
14(3),,,0.71,1.41,,
11(6),,,0.51,6.77,,
13(2),,,0.56,0.79,,
9(2),,,0.42,0.66,,
17(4),,,0.58,3.21,,
12(1),,,0.44,0.4,,
7(1),,,0.26,0.31,,
16(2),,,0.34,0.78,,
16(6),,,0.59,10.52,,
21(4),,,0.66,3.19,,
17(3),,,0.78,1.64,,
17(4),,,0.74,4.11,,
19(3),,,1.31,1.58,,
23(7),,,0.99,47.09,,
4(1),,,0.18,0.21,,
20(3),,,0.77,1.82,,
20(3),,,0.84,1.67,,
13(2),,,4.54,0.77,,
19(4),,,4.09,3.3,,
16(1),,,0.64,0.45,,
9(0),,,0.3,0.16,,
22(2),,,0.98,2.46,,
20(3),,,0.58,2.87,,
22(10),,,0.83,369.77,,
20(6),,,0.79,15.53,,
20(10),,,1.23,327.08,,
22(2),,,1.1,2.59,,
21(4),,,0.96,4.23,,
15(1),,,4.55,1.31,,
16(6),,,0.43,17.65,,
26(5),,,1.42,12.39,,
23(4),,,1.03,7.35,,
23(10),,,0.96,377.4,,
23(4),,,4.47,7.65,,
25(3),,,1.02,2.64,,
28(2),,,1.02,2.59,,
26(10),,,1.09,449.85,,
26(8),,,1.05,116.61,,
26(3),,,1.24,6.64,,
26(9),,,0.98,240.44,,
21(3),,,0.53,2.59,,
29(1),,,1.36,2.48,,
28(2),,,0.68,3.17,,
31(7),,,1.0,78.55,,
30(5),,,0.86,23.58,,
29(11),,,5.16,996.85,,
33(13),,,1.3,3302.57,,
30(5),,,6.06,28.21,,
31(4),,,1.78,12.58,,
30(3),,,1.3,7.6,,
10(1),,,0.34,0.46,,
24(2),,,0.77,3.53,,
30(11),,,0.98,1057.12,,
34(4),,,0.75,14.1,,
30(3),,,1.29,7.53,,
34(7),,,1.57,81.38,,
32(5),,,0.81,23.54,,
30(10),,,0.9,595.4,,
33(6),,,0.98,50.36,,
33(2),,,1.18,3.9,,
26(6),,,0.63,32.46,,
38(7),,,1.2,106.68,,
14(4),,,0.29,4.19,,
36(4),,,1.17,18.93,,
31(13),,,0.74,2945.31,,
35(5),,,2.04,27.38,,
39(13),,,1.05,3507.13,,
37(9),,,1.27,396.04,,
41(4),,,1.75,17.64,,
36(9),,,1.8,329.71,,
38(7),,,1.03,101.94,,
27(3),,,0.83,6.87,,
28(4),,,1.07,12.41,,
44(12),,,2.41,2526.57,,
41(4),,,1.56,22.25,,
33(7),,,0.84,90.29,,
40(6),,,1.33,63.58,,
41(12),,,2.0,2184.81,,
41(10),,,1.38,717.6,,
40(4),,,1.61,19.77,,
24(2),,,0.6,5.49,,
33(13),,,0.93,2867.9,,
45(18),,,1.94,95397.22,,
42(11),,,1.39,1385.73,,
41(12),,,1.42,2196.62,,
38(13),,,1.1,3410.16,,
39(5),,,1.08,28.2,,
46(6),,,1.31,66.49,,
