Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
4(0),,,5.36,,,0.16
4(1),,,4.45,,,0.16
4(1),,,0.23,,,0.15
5(1),,,0.25,,,0.18
5(0),,,0.23,,,0.17
5(0),,,0.21,,,0.16
5(1),,,0.33,,,0.16
5(0),,,0.44,,,0.25
4(1),,,0.37,,,0.14
5(0),,,4.61,,,0.17
4(1),,,6.05,,,0.19
4(1),,,0.2,,,0.15
5(1),,,0.3,,,0.18
5(0),,,0.3,,,0.29
8(1),,,0.35,,,0.19
10(1),,,0.57,,,0.22
8(2),,,0.41,,,0.25
4(0),,,0.22,,,0.32
5(1),,,0.26,,,0.18
12(2),,,0.52,,,0.25
9(1),,,0.46,,,0.24
9(1),,,0.57,,,0.23
8(1),,,0.29,,,0.17
8(0),,,5.78,,,0.24
11(1),,,0.42,,,0.3
14(3),,,4.71,,,0.3
11(2),,,5.54,,,0.41
8(3),,,0.27,,,0.27
4(1),,,0.26,,,0.24
12(1),,,0.41,,,0.34
12(1),,,5.22,,,0.35
9(2),,,4.47,,,0.23
8(2),,,0.37,,,0.21
14(1),,,0.62,,,0.32
10(5),,,0.47,,,0.28
15(3),,,0.66,,,0.43
19(3),,,0.89,,,0.8
15(2),,,0.69,,,0.35
13(1),,,0.46,,,0.37
6(0),,,0.24,,,0.15
14(2),,,0.57,,,0.5
3(0),,,2.96,,,0.1
16(1),,,0.57,,,0.47
18(2),,,0.7,,,0.54
14(4),,,0.51,,,0.46
19(3),,,5.65,,,0.81
19(2),,,0.67,,,0.73
13(1),,,0.5,,,0.46
18(3),,,0.52,,,0.36
16(4),,,0.42,,,0.49
19(2),,,0.83,,,0.74
23(4),,,1.26,,,1.02
20(2),,,5.13,,,0.56
13(3),,,0.6,,,0.31
21(1),,,1.19,,,0.61
8(3),,,0.24,,,0.32
18(4),,,0.49,,,0.62
19(2),,,4.27,,,0.72
23(3),,,1.1,,,1.26
22(7),,,0.96,,,1.87
23(5),,,1.19,,,0.89
24(6),,,0.83,,,1.02
19(4),,,0.51,,,0.66
31(7),,,1.16,,,0.91
17(2),,,0.71,,,0.6
24(2),,,0.83,,,1.08
24(1),,,0.68,,,0.91
28(4),,,1.12,,,2.01
26(7),,,0.96,,,1.26
29(7),,,0.71,,,1.5
22(9),,,0.54,,,0.87
28(8),,,0.76,,,4.25
20(1),,,0.53,,,0.63
27(11),,,0.65,,,1.66
28(7),,,0.71,,,1.06
31(10),,,0.72,,,2.28
27(8),,,0.82,,,2.13
30(10),,,1.53,,,2.75
32(3),,,1.49,,,1.88
28(2),,,0.96,,,1.14
27(4),,,0.95,,,1.53
26(12),,,0.79,,,1.07
26(2),,,0.94,,,1.8
18(1),,,0.62,,,0.57
30(4),,,1.23,,,1.87
34(14),,,1.59,,,4.51
29(8),,,5.14,,,2.3
36(6),,,4.2,,,4.4
38(6),,,1.81,,,8.66
36(4),,,1.74,,,3.21
27(5),,,0.91,,,2.15
32(10),,,1.45,,,6.79
34(4),,,0.86,,,2.14
32(4),,,0.86,,,2.44
29(3),,,0.77,,,0.99
31(7),,,1.29,,,1.19
36(13),,,1.33,,,9.33
28(6),,,1.11,,,1.05
39(14),,,2.04,,,7.93
36(11),,,1.32,,,2.96
26(5),,,0.5,,,1.7
39(11),,,1.24,,,9.31
30(2),,,0.62,,,2.27
40(8),,,1.16,,,4.71
36(6),,,3.9,,,4.31
40(6),,,1.78,,,3.87
38(5),,,1.13,,,2.46
38(2),,,1.17,,,4.42
44(5),,,1.45,,,10.09
28(4),,,0.63,,,0.81
38(8),,,2.64,,,2.44
34(14),,,1.72,,,1.94
38(12),,,7.2,,,3.94
45(13),,,2.84,,,22.49
31(7),,,5.11,,,1.49
45(8),,,1.12,,,2.07
52(14),,,1.7,,,3.86
48(9),,,3.32,,,9.93
46(16),,,1.3,,,4.09
36(13),,,4.57,,,10.72
43(4),,,4.73,,,10.42
48(17),,,5.42,,,16.09
41(7),,,1.39,,,3.05
35(13),,,0.92,,,16.81
44(11),,,1.73,,,5.87
46(5),,,1.68,,,6.58
44(17),,,1.14,,,15.87
38(3),,,1.26,,,3.32
44(5),,,2.59,,,6.18
43(11),,,1.13,,,7.16
32(12),,,1.57,,,1.5
42(9),,,1.92,,,4.16
46(12),,,2.08,,,61.28
47(22),,,3.4,,,40.4
46(5),,,1.71,,,7.35
45(5),,,1.92,,,7.43
51(11),,,2.52,,,18.67
47(14),,,3.97,,,15.86
48(21),,,2.91,,,39.55
42(4),,,2.14,,,4.35
48(10),,,1.99,,,8.99
45(8),,,3.85,,,21.17
37(18),,,2.16,,,4.42
6(1),,,0.31,,,0.19
36(7),,,1.63,,,3.83
51(14),,,3.61,,,30.13
40(17),,,1.61,,,13.82
50(22),,,2.41,,,11.91
41(8),,,1.63,,,11.22
44(9),,,1.41,,,14.83
49(6),,,2.88,,,39.34
57(11),,,2.39,,,39.7
52(13),,,2.64,,,102.94
55(16),,,2.43,,,40.15
47(4),,,1.89,,,11.74
53(10),,,5.38,,,20.88
41(3),,,3.29,,,55.19
55(20),,,4.86,,,131.08
47(2),,,3.16,,,18.87
50(12),,,3.55,,,26.17
50(16),,,2.81,,,21.23
56(10),,,3.99,,,12.55
41(4),,,3.86,,,11.81
57(6),,,5.94,,,61.19
51(9),,,4.72,,,44.71
55(7),,,8.47,,,160.0
63(15),,,5.61,,,151.34
48(13),,,3.39,,,60.18
46(16),,,3.22,,,66.13
59(12),,,5.9,,,491.93
53(12),,,2.96,,,23.28
63(18),,,5.78,,,120.3
55(10),,,2.66,,,62.13
54(14),,,2.51,,,151.88
60(16),,,3.25,,,31.24
64(16),,,5.44,,,170.74
51(10),,,5.41,,,49.73
63(9),,,5.39,,,59.52
63(22),,,9.76,,,593.39
61(20),,,5.26,,,160.11
55(18),,,5.7,,,223.93
57(17),,,3.6,,,50.84
62(9),,,6.9,,,53.06
63(21),,,3.83,,,34.44
61(10),,,5.12,,,50.22
69(18),,,4.89,,,447.0
65(18),,,11.86,,,115.22
62(17),,,3.97,,,19.91
63(20),,,8.42,,,87.69
57(8),,,4.84,,,53.65
59(14),,,5.65,,,76.02
57(4),,,4.59,,,122.76
68(15),,,7.05,,,1764.44
62(18),,,7.78,,,106.5
65(10),,,5.34,,,62.03
70(30),,,6.34,,,77.85
67(16),,,14.29,,,1774.1
