Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
44(6),,131.15,2.66,,,
15(3),,11.11,0.46,,,
14(3),,13.79,0.52,,,
32(5),,14.07,1.07,,,
21(6),,127.94,0.56,,,
25(4),,15.53,0.83,,,
8(1),,8.19,0.37,,,
37(6),,76.3,2.6,,,
23(2),,20.09,0.66,,,
22(4),,30.84,0.58,,,
24(8),,25.57,0.52,,,
16(6),,31.23,0.49,,,
42(13),,16487.43,2.33,,,
41(6),,69.1,2.73,,,
4(0),,1.51,0.08,,,
5(1),,3.13,0.07,,,
23(11),,3367.48,0.54,,,
12(2),,4.91,0.21,,,
3(0),,1.81,0.07,,,
18(2),,6.69,0.35,,,
7(1),,4.08,0.15,,,
29(3),,7.91,0.92,,,
3(0),,1.33,0.09,,,
29(4),,17.17,0.77,,,
42(14),,16129.25,4.15,,,
15(4),,28.69,0.3,,,
8(1),,3.48,0.09,,,
37(16),,49476.5,4.04,,,
4(0),,1.16,0.06,,,
18(5),,63.86,0.36,,,
18(3),,8.23,0.4,,,
12(2),,4.86,0.2,,,
20(2),,7.47,0.45,,,
9(1),,2.77,0.12,,,
5(1),,4.04,0.08,,,
10(2),,8.01,0.15,,,
9(3),,16.17,0.12,,,
21(1),,6.82,0.74,,,
13(4),,29.9,0.33,,,
32(15),,55041.75,1.46,,,
43(12),,8191.06,4.4,,,
37(4),,35.64,1.41,,,
4(1),,2.43,0.07,,,
8(0),,1.55,0.1,,,
12(1),,3.4,0.2,,,
23(4),,30.11,0.55,,,
38(11),,504.33,5.33,,,
17(3),,7.37,0.26,,,
50(15),,66174.63,12.0,,,
4(1),,4.11,0.06,,,
20(3),,6.49,0.3,,,
35(13),,49.82,1.11,,,
31(12),,4009.46,1.09,,,
5(0),,1.41,0.07,,,
23(5),,30.48,0.39,,,
7(1),,2.97,0.13,,,
26(6),,75.72,0.99,,,
38(5),,62.44,2.45,,,
34(6),,127.09,1.31,,,
24(9),,996.13,0.75,,,
17(7),,129.14,0.38,,,
4(1),,5.08,0.1,,,
