Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL
3(1),,2.55,0.17,
2(0),,1.23,0.25,
2(0),,1.61,0.13,
2(0),,1.8,0.24,
3(0),,0.87,0.25,
3(0),,0.93,0.26,
3(1),,2.95,0.26,
3(1),,3.4,0.25,
4(1),,3.02,0.32,
2(0),,1.66,0.22,
6(0),,1.46,0.31,
4(0),,1.37,0.3,
4(0),,2.39,0.28,
3(1),,2.73,0.25,
4(1),,2.32,0.29,
3(0),,0.92,0.3,
3(1),,1.88,0.17,
7(1),,1.5,0.29,
4(0),,0.61,0.19,
6(1),,1.26,0.23,
7(4),,2.6,0.27,
5(1),,1.69,0.21,
8(1),,1.43,0.31,
3(0),,0.65,0.14,
3(1),,1.34,0.16,
5(1),,1.96,0.25,
6(1),,2.03,0.25,
8(3),,5.77,0.34,
6(2),,3.26,0.28,
9(2),,1.65,0.38,
8(2),,1.89,0.37,
4(1),,1.07,0.2,
8(1),,1.44,0.35,
8(2),,2.27,0.35,
8(1),,2.38,0.3,
9(2),,3.51,0.37,
10(1),,1.89,0.36,
7(2),,2.45,0.33,
9(2),,2.72,0.42,
8(4),,2.24,0.33,
10(5),,20.34,0.4,
6(1),,1.15,0.23,
6(1),,1.53,0.26,
7(1),,2.48,0.28,
12(2),,2.75,0.5,
11(3),,2.93,0.54,
7(1),,1.7,0.26,
9(3),,6.32,0.43,
9(0),,1.15,0.28,
11(2),,3.29,0.49,
11(0),,1.36,0.42,
11(3),,4.1,0.45,
11(4),,3.86,0.49,
17(1),,2.42,0.72,
11(2),,4.49,0.5,
14(1),,2.55,0.59,
10(6),,14.04,0.39,
13(4),,2.88,0.64,
10(4),,7.53,0.41,
12(5),,11.03,0.47,
16(3),,5.17,0.78,
6(2),,2.26,0.28,
17(2),,3.96,0.82,
5(1),,1.54,0.21,
15(4),,5.37,0.81,
14(1),,2.57,0.59,
14(7),,39.32,0.57,
14(7),,7.79,0.61,
15(7),,49.55,0.89,
13(2),,4.26,0.6,
15(3),,5.39,0.71,
16(3),,4.96,0.78,
17(5),,34.56,0.83,
15(2),,4.19,0.65,
8(3),,7.44,0.4,
18(3),,8.83,0.77,
20(5),,29.81,0.97,
17(3),,4.83,0.92,
18(5),,13.8,0.94,
18(3),,3.17,1.05,
20(2),,4.86,1.17,
17(8),,216.26,0.89,
16(6),,56.34,0.79,
18(4),,14.73,0.96,
20(6),,64.35,1.01,
21(8),,185.39,1.04,
19(4),,17.16,0.91,
21(7),,118.99,1.07,
24(4),,9.12,1.23,
24(5),,68.31,1.32,
17(7),,14.69,0.9,
17(6),,66.52,0.93,
25(10),,454.76,1.43,
20(3),,7.4,0.84,
7(4),,9.17,0.33,
23(10),,1602.51,1.07,
27(5),,12.97,1.49,
20(7),,72.06,1.05,
24(8),,39.19,1.9,
20(5),,11.22,1.27,
24(8),,64.25,1.81,
25(8),,321.28,1.51,
28(11),,2421.1,1.42,
26(2),,3.28,1.36,
26(7),,36.97,1.8,
21(2),,5.59,0.93,
23(3),,9.39,1.28,
23(9),,115.88,1.32,
26(9),,305.38,1.98,
20(1),,2.62,0.75,
24(4),,11.59,1.37,
29(5),,46.5,2.09,
19(1),,2.25,0.77,
29(8),,169.03,2.13,
26(8),,337.86,1.78,
27(6),,16.47,1.95,
28(11),,1619.96,2.02,
28(8),,167.75,2.08,
26(6),,41.3,1.76,
30(7),,206.88,1.57,
32(5),,58.36,2.39,
28(4),,27.99,1.7,
26(14),,211.38,1.19,
31(5),,57.82,1.56,
30(11),,1899.62,2.09,
31(6),,54.68,2.01,
31(6),,51.96,1.89,
31(12),,1624.81,2.29,
31(6),,18.04,2.05,
28(7),,64.83,1.69,
27(10),,1848.77,1.5,
27(10),,948.02,1.93,
30(6),,66.59,1.87,
25(4),,19.21,1.34,
31(9),,690.16,2.56,
36(7),,129.07,2.51,
36(6),,40.03,2.9,
3(1),,2.2,0.16,
29(13),,10153.12,1.54,
34(7),,223.06,2.23,
29(10),,884.21,1.95,
31(11),,3041.28,2.24,
24(10),,395.42,1.13,
36(4),,17.32,2.55,
32(4),,48.95,2.04,
27(13),,241.31,2.22,
36(10),,1902.74,1.87,
36(18),,255568.36,2.68,
36(6),,88.97,3.24,
29(13),,630.46,2.57,
38(9),,469.92,5.46,
31(11),,3289.41,2.56,
34(17),,17871.1,2.38,
35(5),,60.18,3.6,
32(6),,65.61,2.03,
29(5),,33.7,1.75,
36(16),,32194.46,2.66,
37(7),,149.83,4.31,
29(4),,18.8,1.79,
38(18),,114673.4,3.87,
40(10),,1002.17,3.22,
35(3),,18.81,3.13,
33(8),,220.72,3.17,
38(17),,122558.79,2.94,
37(12),,8000.44,3.98,
39(10),,1872.34,4.41,
35(7),,250.18,3.18,
39(6),,200.0,3.61,
40(10),,1774.54,3.4,
37(15),,18007.05,3.45,
41(7),,61.45,3.08,
37(9),,925.25,2.39,
44(9),,232.81,3.41,
34(10),,947.47,2.48,
37(5),,68.99,2.5,
41(13),,2391.92,2.79,
43(12),,4657.62,3.9,
39(9),,488.96,3.03,
33(6),,76.1,2.62,
41(9),,411.08,3.59,
46(20),,510637.74,4.07,
44(9),,948.47,3.65,
41(18),,207867.31,2.28,
45(5),,66.33,3.57,
