Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL
10(3),0.06,,0.42,
45(7),0.15,,3.17,
38(8),0.1,,1.75,
41(22),0.15,,3.76,
44(24),0.19,,4.44,
52(8),0.14,,4.9,
40(1),0.07,,1.98,
51(8),0.12,,4.88,
6(1),0.02,,0.31,
83(29),0.28,,8.17,
54(13),0.15,,4.07,
74(41),0.27,,8.3,
29(9),0.09,,0.86,
30(3),0.09,,0.91,
21(6),0.08,,0.63,
3(0),0.01,,0.06,
54(22),0.18,,6.59,
20(7),0.07,,0.66,
55(11),0.14,,8.64,
66(11),0.17,,12.49,
50(11),0.14,,3.45,
59(22),0.41,,4.93,
52(20),0.16,,3.11,
3(0),0.01,,0.05,
7(0),0.02,,0.1,
20(1),0.04,,0.64,
47(7),0.12,,2.55,
25(10),0.09,,0.52,
45(8),0.11,,2.36,
35(13),0.12,,1.09,
16(7),0.05,,0.3,
37(21),0.16,,1.45,
43(4),0.09,,2.6,
54(12),0.15,,3.34,
6(1),0.02,,0.09,
29(11),0.11,,1.4,
14(6),0.19,,0.39,
81(24),0.24,,15.16,
56(16),0.16,,4.29,
40(19),0.14,,2.39,
30(10),0.97,,1.04,
7(0),0.02,,0.24,
56(21),0.2,,3.27,
67(19),0.18,,9.52,
80(13),0.21,,24.79,
92(31),0.6,,22.34,
3(0),0.01,,0.05,
83(17),0.21,,8.09,
66(31),0.29,,8.2,
53(13),0.14,,2.63,
72(27),0.25,,12.75,
3(0),0.01,,0.05,
54(14),0.15,,4.14,
7(1),0.02,,0.16,
66(18),0.19,,9.38,
34(7),0.09,,1.27,
29(9),0.11,,1.08,
29(13),0.11,,0.82,
40(11),0.12,,1.42,
4(1),0.02,,0.1,
86(26),0.27,,14.32,
39(4),0.1,,1.77,
53(20),0.19,,4.73,
57(18),0.19,,3.84,
62(16),7.31,,4.51,
82(33),0.28,,22.56,
75(10),0.18,,7.51,
21(9),0.09,,0.46,
41(16),0.13,,2.38,
16(4),0.05,,0.42,
43(10),0.14,,2.01,
40(16),0.34,,1.94,
33(20),0.14,,1.13,
58(23),0.24,,6.58,
6(3),0.09,,0.2,
71(21),0.22,,13.23,
40(18),0.14,,2.59,
48(25),0.18,,2.48,
76(27),0.24,,8.75,
73(37),0.42,,13.16,
9(1),0.04,,0.15,
12(1),0.03,,0.28,
67(12),0.16,,11.08,
54(9),0.14,,3.8,
22(5),0.06,,0.58,
20(6),0.08,,0.47,
21(5),0.06,,0.44,
55(11),0.15,,3.81,
21(12),0.09,,0.79,
59(8),0.15,,5.82,
25(3),0.07,,0.62,
8(4),0.03,,0.16,
51(15),0.2,,3.24,
64(15),0.17,,6.04,
8(1),0.02,,0.21,
72(22),0.22,,14.29,
53(7),0.13,,3.01,
70(27),0.24,,6.28,
4(1),0.01,,0.22,
10(2),0.03,,0.17,
11(4),0.12,,0.43,
