Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL
30(5),66431.22,,1.11,
3(1),0.18,,0.21,
24(8),3936.17,,0.71,
21(3),400.43,,0.53,
4(0),0.12,,0.22,
6(3),0.21,,0.38,
22(4),663.76,,0.88,
29(10),56614.01,,1.34,
2(0),0.04,,0.18,
9(2),1.08,,0.32,
33(7),510781.15,,1.05,
18(3),131.96,,0.44,
11(2),5.0,,0.2,
26(4),7045.5,,0.82,
20(5),354.88,,0.48,
33(12),889610.25,,2.28,
34(2),278094.49,,1.25,
21(2),740.19,,0.72,
29(5),60099.57,,1.0,
2(0),0.02,,0.04,
10(4),2.33,,0.22,
11(1),2.67,,0.25,
7(2),0.37,,0.16,
15(2),28.35,,0.26,
31(3),260415.18,,1.05,
20(6),268.3,,0.5,
26(6),12743.26,,0.64,
3(0),0.13,,0.05,
7(1),1.54,,0.14,
7(1),1.34,,0.18,
6(2),0.57,,0.13,
3(1),0.12,,0.1,
25(11),4518.98,,0.68,
26(6),12892.73,,0.84,
5(0),0.11,,0.07,
2(0),0.02,,0.04,
17(2),151.4,,0.36,
10(2),2.48,,0.28,
13(2),12.24,,0.39,
4(0),0.23,,0.07,
20(3),678.68,,0.5,
3(0),0.04,,0.07,
27(7),11053.71,,0.97,
31(4),135605.17,,1.12,
6(3),0.23,,0.13,
20(4),304.95,,0.54,
35(11),1265945.31,,1.09,
7(1),0.24,,0.19,
33(5),261258.33,,0.76,
12(3),5.33,,0.29,
15(2),27.0,,0.43,
12(3),9.63,,0.2,
17(5),114.26,,0.44,
14(3),12.26,,0.66,
6(2),0.17,,0.29,
22(5),1032.57,,0.48,
8(3),0.39,,0.12,
12(3),5.63,,0.39,
20(3),749.79,,0.62,
2(0),0.03,,0.04,
13(1),11.6,,0.23,
3(0),0.04,,0.05,
18(3),280.67,,0.36,
19(1),320.55,,0.44,
28(3),14180.39,,0.97,
26(3),12795.37,,0.69,
8(3),0.45,,0.12,
26(8),13780.61,,0.74,
7(4),0.42,,0.16,
23(4),3015.28,,0.77,
21(7),604.06,,0.59,
16(3),69.41,,0.33,
17(4),72.52,,0.29,
26(11),16703.35,,1.19,
18(3),353.29,,0.49,
3(0),0.04,,0.05,
9(2),1.14,,0.22,
11(1),5.32,,0.22,
34(5),1078090.12,,1.14,
13(1),7.48,,0.22,
7(1),0.24,,0.11,
9(5),0.87,,0.15,
14(3),26.83,,0.39,
17(3),57.15,,0.53,
2(0),0.02,,0.05,
31(6),136957.81,,1.26,
20(1),778.52,,0.42,
17(1),159.14,,0.38,
10(1),2.33,,0.3,
5(1),0.1,,0.1,
8(2),0.51,,0.2,
28(10),12208.88,,0.68,
2(0),0.03,,0.06,
16(3),53.91,,0.38,
11(1),2.62,,0.26,
30(13),103078.66,,1.1,
3(0),0.06,,0.09,
30(7),44261.34,,0.84,
19(7),185.36,,0.45,
29(13),36876.05,,1.12,
26(11),6276.93,,0.92,
14(2),33.98,,0.31,
19(3),359.98,,0.55,
9(1),1.13,,0.2,
17(0),69.23,,0.35,
3(1),0.05,,0.13,
18(5),156.76,,0.42,
4(1),0.1,,0.09,
