Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
235(55),,,1663.36,,2.42,
13(2),,,6.86,,2.15,
50(6),,,8.05,,1.31,
69(18),,,11.25,,3.44,
138(35),,,69.38,,3.04,
131(47),,,73.06,,2.53,
36(4),,,0.68,,2.61,
292(63),,,6617.53,,2.51,
119(32),,,26.28,,2.42,
11(1),,,5.97,,0.12,
226(56),,,303.68,,0.92,
205(41),,,165.99,,0.8,
4(1),,,0.09,,0.02,
34(14),,,1.04,,0.12,
208(44),,,751.32,,0.6,
65(19),,,15.85,,1.73,
231(80),,,272.78,,0.72,
195(76),,,111.91,,0.65,
219(72),,,310.06,,0.91,
201(48),,,280.29,,0.95,
238(77),,,918.67,,0.85,
146(51),,,24.47,,0.48,
102(30),,,37.32,,0.29,
136(39),,,35.05,,0.5,
325(78),,,2627.62,,1.05,
241(40),,,1253.8,,0.71,
80(24),,,23.43,,0.24,
262(66),,,782.85,,0.93,
212(72),,,156.09,,0.84,
97(14),,,54.83,,0.27,
41(7),,,4.55,,0.1,
146(31),,,17.23,,0.6,
259(75),,,6597.48,,0.93,
199(62),,,52.72,,0.62,
134(57),,,13.87,,0.49,
156(49),,,142.28,,0.54,
200(71),,,196.0,,0.89,
186(54),,,435.74,,0.58,
172(18),,,249.97,,0.46,
159(24),,,188.78,,0.44,
314(100),,,6477.01,,1.53,
220(76),,,464.21,,0.79,
113(33),,,33.61,,0.5,
185(65),,,127.93,,0.61,
95(19),,,21.53,,0.22,
93(12),,,17.47,,0.2,
324(83),,,962.35,,1.77,
3(0),,,0.09,,0.01,
249(83),,,1329.51,,0.82,
85(26),,,14.72,,0.34,
159(47),,,72.85,,0.49,
189(72),,,45.64,,0.61,
27(3),,,0.73,,0.11,
233(53),,,370.19,,0.71,
132(42),,,115.57,,0.46,
162(55),,,39.04,,0.65,
208(55),,,46.24,,0.6,
99(34),,,36.28,,0.29,
44(12),,,2.02,,0.13,
178(49),,,377.78,,0.53,
100(23),,,50.77,,0.28,
75(10),,,5.75,,0.16,
272(95),,,369.34,,0.94,
90(31),,,13.61,,0.26,
110(38),,,13.47,,0.36,
87(26),,,8.88,,0.23,
73(11),,,10.42,,0.23,
203(55),,,116.27,,0.57,
16(3),,,0.32,,0.05,
71(18),,,5.1,,0.19,
76(29),,,6.21,,0.23,
83(16),,,7.79,,0.21,
17(5),,,0.32,,0.06,
210(43),,,313.72,,0.6,
132(29),,,32.91,,0.38,
314(98),,,7639.61,,1.19,
151(30),,,19.71,,0.43,
81(20),,,5.13,,0.22,
48(8),,,1.22,,0.12,
263(97),,,303.14,,1.07,
227(52),,,707.54,,0.74,
142(34),,,742.05,,0.44,
3(0),,,0.12,,0.01,
277(71),,,816.09,,0.81,
58(22),,,2.68,,0.19,
211(67),,,402.92,,0.7,
114(17),,,28.13,,1.83,
158(52),,,349.8,,0.49,
270(83),,,507.31,,1.04,
260(92),,,2871.18,,0.86,
148(60),,,223.67,,0.56,
163(41),,,114.11,,0.48,
266(90),,,2117.87,,0.88,
167(36),,,21.56,,0.46,
20(1),,,2.05,,0.05,
46(8),,,5.39,,0.11,
185(54),,,80.68,,0.64,
12(2),,,0.7,,0.03,
296(71),,,918.55,,0.9,
257(62),,,255.86,,0.83,
214(74),,,184.96,,0.88,
124(54),,,53.11,,0.39,
6(0),,,0.32,,0.03,
234(71),,,12962.52,,0.79,
107(31),,,35.99,,0.32,
242(69),,,479.85,,0.69,
268(57),,,1040.71,,0.81,
27(4),,,0.59,,0.06,
177(59),,,101.76,,0.57,
121(34),,,73.06,,0.44,
229(72),,,625.72,,0.81,
183(46),,,108.89,,0.55,
198(63),,,544.89,,0.59,
97(31),,,21.71,,0.33,
141(27),,,68.59,,0.36,
137(49),,,58.14,,0.45,
35(4),,,1.19,,0.08,
302(124),,,549117.06,,1.3,
269(59),,,708.05,,0.87,
151(25),,,45.2,,0.48,
77(16),,,6.31,,0.2,
188(61),,,101.58,,0.61,
9(2),,,0.21,,0.05,
137(61),,,21.16,,0.5,
165(40),,,71.17,,0.52,
88(27),,,13.87,,0.25,
203(49),,,194.14,,0.85,
46(12),,,1.56,,0.13,
276(90),,,3995.83,,0.94,
232(49),,,173.07,,0.66,
258(80),,,2004.96,,0.9,
279(81),,,4157.1,,0.87,
251(77),,,1161.49,,0.85,
282(90),,,6071.4,,0.97,
170(58),,,64.09,,0.61,
11(1),,,0.21,,0.03,
63(18),,,4.17,,0.19,
320(90),,,493688.61,,1.1,
8(0),,,0.17,,0.02,
109(40),,,9.68,,0.3,
54(16),,,1.66,,0.15,
180(50),,,50.3,,0.6,
251(73),,,2369.59,,0.84,
101(22),,,12.39,,0.33,
39(16),,,1.38,,0.13,
44(9),,,1.33,,0.12,
189(34),,,51.93,,0.59,
306(95),,,889.98,,0.99,
120(37),,,17.95,,0.36,
52(10),,,2.32,,0.18,
105(32),,,36.94,,0.35,
324(71),,,2348.21,,1.03,
283(85),,,374.13,,0.92,
144(41),,,94.49,,0.44,
190(49),,,285.35,,0.6,
241(48),,,360.44,,0.67,
138(40),,,91.84,,0.43,
292(72),,,15417.38,,1.12,
226(50),,,4898.34,,0.67,
143(39),,,16.25,,0.44,
224(72),,,259.06,,0.69,
319(99),,,18156.57,,1.36,
76(30),,,14.09,,0.27,
34(6),,,0.84,,0.09,
122(27),,,18.81,,0.31,
310(82),,,10293.83,,1.52,
246(98),,,606.96,,0.92,
145(23),,,11.99,,0.78,
33(7),,,0.83,,0.12,
169(40),,,151.0,,0.51,
55(13),,,12.94,,0.17,
75(21),,,5.08,,0.19,
38(8),,,1.16,,0.12,
110(40),,,30.71,,0.35,
76(8),,,15.94,,0.16,
160(65),,,108.61,,0.53,
294(56),,,5056.07,,1.02,
132(45),,,40.56,,0.44,
110(40),,,42.01,,0.59,
256(71),,,2015.96,,0.8,
300(101),,,3913.3,,1.36,
81(11),,,5.84,,0.18,
174(40),,,87.95,,0.54,
265(52),,,7328.07,,0.77,
84(23),,,8.77,,0.24,
262(88),,,10018.42,,1.16,
215(52),,,56.19,,0.67,
163(39),,,147.85,,0.49,
226(73),,,785.2,,0.84,
77(25),,,6.43,,0.22,
272(100),,,971.48,,1.19,
306(106),,,5814.0,,1.38,
46(7),,,1.69,,0.11,
56(7),,,3.42,,0.23,
172(55),,,128.13,,0.63,
24(9),,,0.47,,0.08,
8(0),,,0.14,,0.12,
209(55),,,87.83,,0.71,
160(41),,,65.91,,0.45,
260(69),,,714.49,,0.96,
200(75),,,556.46,,0.91,
312(90),,,20482.02,,1.27,
104(48),,,26.9,,0.47,
75(25),,,14.33,,0.23,
269(78),,,2494.03,,0.85,
96(19),,,25.86,,0.23,
140(59),,,683.34,,0.63,
163(43),,,86.96,,0.47,
151(42),,,58.82,,0.65,
232(68),,,465.01,,1.04,
260(76),,,5393.1,,0.96,
73(17),,,5.3,,0.21,
120(21),,,27.41,,0.29,
105(23),,,15.49,,0.32,
150(38),,,39.42,,0.52,
300(82),,,7984.87,,0.99,
83(34),,,13.65,,0.27,
92(29),,,12.76,,0.3,
322(86),,,811301.37,,1.01,
287(98),,,797.7,,0.99,
238(60),,,1767.32,,0.69,
262(67),,,3153.69,,0.78,
192(72),,,84.16,,0.75,
4(0),,,0.11,,0.01,
64(17),,,4.24,,0.18,
77(38),,,7.4,,0.27,
103(23),,,17.91,,0.28,
201(55),,,450.69,,0.63,
252(56),,,9292.33,,0.89,
139(47),,,47.86,,0.75,
117(32),,,30.63,,0.32,
298(87),,,12510.74,,1.18,
311(104),,,9642.52,,1.24,
261(94),,,1506.03,,1.0,
126(45),,,102.11,,0.48,
