Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
3(0),,3.15,,,0.71,
4(0),,9.03,,,0.81,
3(0),,3.05,,,0.77,
4(0),,0.89,,,0.55,
4(0),,5.99,,,0.5,
3(0),,2.84,,,0.89,
5(1),,8.61,,,0.74,
5(1),,2.07,,,0.84,
4(1),,1.98,,,0.58,
4(1),,6.83,,,0.78,
3(0),,2.8,,,0.93,
5(1),,8.17,,,0.56,
6(0),,1.18,,,0.5,
4(1),,4.97,,,0.54,
5(0),,5.31,,,0.46,
3(0),,1.75,,,0.05,
3(0),,1.13,,,0.03,
5(0),,0.8,,,0.06,
5(0),,1.34,,,0.09,
7(0),,0.79,,,0.12,
4(0),,0.73,,,0.04,
5(1),,1.4,,,0.07,
5(1),,2.66,,,0.03,
5(1),,1.28,,,0.03,
7(0),,2.46,,,0.1,
5(1),,2.38,,,0.08,
6(1),,3.1,,,0.09,
3(0),,1.77,,,0.02,
3(0),,1.18,,,0.02,
8(1),,2.06,,,0.15,
5(0),,0.94,,,0.02,
9(4),,3.62,,,0.27,
5(1),,1.69,,,0.05,
7(1),,2.68,,,0.09,
8(2),,4.45,,,0.42,
5(1),,1.84,,,0.12,
8(3),,7.26,,,0.1,
9(0),,1.25,,,0.05,
9(1),,3.77,,,0.11,
4(1),,1.61,,,0.03,
9(1),,3.29,,,0.03,
4(1),,1.87,,,0.03,
9(1),,3.2,,,0.1,
4(0),,1.71,,,0.02,
4(0),,1.75,,,0.02,
9(0),,1.38,,,0.03,
11(1),,2.05,,,0.04,
6(1),,1.49,,,0.13,
9(2),,2.08,,,0.04,
11(1),,1.78,,,0.04,
12(2),,3.02,,,0.06,
9(1),,2.4,,,0.07,
11(1),,3.03,,,0.16,
8(1),,1.68,,,0.08,
12(2),,4.31,,,0.1,
9(1),,1.93,,,0.04,
5(0),,0.99,,,0.02,
15(3),,5.91,,,0.13,
13(2),,2.58,,,0.05,
5(0),,1.39,,,0.02,
