Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
0,0.0018,0.0029,0.0004,0.0007,0.0001,0.0003
20,10.0294,0.0515,0.001,0.0282,0.0001,0.0019
40,1284.8105,8.086,0.0024,1.3857,0.0002,0.0189
60,,,0.0076,,0.0002,0.3757
80,,,0.0208,,0.0002,2.6911
100,,,0.0353,,0.0003,13.1905
120,,,0.0556,,0.0004,
140,,,0.0837,,0.0005,
160,,,0.133,,0.0005,
180,,,0.1647,,0.0006,
200,,,0.2053,,0.0007,
220,,,0.7464,,0.0007,
240,,,1.2932,,0.0008,
260,,,1.6048,,0.0009,
280,,,4.33,,0.001,
300,,,7.4171,,0.0011,
320,,,8.2894,,0.0011,
