Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
3(0),0.07,,3.99,,,
4(1),0.09,,6.68,,,
3(0),0.07,,7.11,,,
5(1),0.43,,5.62,,,
5(0),0.16,,4.22,,,
5(0),0.17,,3.19,,,
5(0),0.21,,5.05,,,
4(1),0.09,,4.14,,,
4(1),0.12,,5.16,,,
4(0),0.09,,4.59,,,
6(0),0.19,,5.56,,,
5(1),0.23,,4.12,,,
5(0),0.2,,4.5,,,
3(0),0.07,,4.38,,,
7(0),0.37,,4.57,,,
4(1),0.1,,4.2,,,
8(1),0.37,,0.2,,,
9(1),0.52,,0.5,,,
9(0),0.98,,0.32,,,
7(0),0.39,,0.19,,,
10(0),2.02,,0.37,,,
9(2),0.73,,0.27,,,
12(2),4.86,,0.38,,,
9(1),0.93,,0.35,,,
10(1),1.12,,0.25,,,
5(0),0.19,,0.16,,,
3(0),0.04,,0.1,,,
11(2),2.07,,0.25,,,
13(1),11.28,,0.34,,,
9(3),1.24,,0.21,,,
10(1),2.59,,0.25,,,
11(1),5.17,,0.29,,,
5(0),0.09,,0.12,,,
15(6),21.76,,0.28,,,
15(7),25.27,,0.35,,,
13(4),4.68,,0.25,,,
17(5),22.27,,0.36,,,
11(3),2.9,,0.23,,,
17(3),52.88,,0.44,,,
14(3),4.43,,0.27,,,
13(3),14.27,,0.26,,,
11(0),1.81,,0.21,,,
18(3),45.22,,0.38,,,
14(1),10.26,,0.29,,,
17(4),41.06,,0.79,,,
17(4),16.77,,0.34,,,
14(0),24.7,,0.44,,,
21(3),235.93,,0.64,,,
17(7),36.8,,0.37,,,
15(4),17.76,,0.63,,,
5(0),0.15,,0.26,,,
15(2),20.53,,0.34,,,
23(2),1102.22,,0.6,,,
22(6),259.69,,0.49,,,
17(2),50.91,,0.43,,,
20(7),94.05,,0.44,,,
23(4),234.4,,0.46,,,
19(5),35.69,,0.69,,,
19(3),52.69,,0.39,,,
22(2),282.76,,0.43,,,
22(9),531.02,,1.13,,,
17(2),45.35,,0.6,,,
13(1),10.84,,0.49,,,
28(3),17348.51,,1.65,,,
16(5),19.78,,0.69,,,
21(1),1249.82,,0.76,,,
26(3),5023.11,,0.87,,,
25(9),3147.11,,0.81,,,
28(7),4826.88,,0.8,,,
19(3),46.08,,0.7,,,
23(5),147.36,,0.65,,,
24(5),348.83,,0.57,,,
25(3),1153.69,,0.55,,,
29(11),10663.21,,0.78,,,
5(1),0.16,,0.15,,,
31(6),55802.42,,1.82,,,
28(3),15989.99,,0.78,,,
28(13),50490.05,,0.83,,,
35(5),155334.63,,2.43,,,
30(2),57901.6,,1.11,,,
27(5),1918.42,,1.1,,,
30(10),16673.67,,1.14,,,
30(3),58173.61,,1.07,,,
32(2),256773.26,,1.69,,,
30(5),57625.05,,1.3,,,
30(10),61809.61,,1.0,,,
33(10),94006.97,,0.73,,,
33(9),94975.02,,1.12,,,
32(7),60540.76,,1.33,,,
28(7),1787.94,,1.25,,,
35(5),260221.48,,1.67,,,
21(3),3313.13,,0.5,,,
37(6),247642.71,,0.91,,,
23(7),1009.45,,0.53,,,
39(5),888968.78,,1.95,,,
34(5),117809.13,,1.04,,,
38(3),475838.68,,1.16,,,
25(4),6800.98,,0.96,,,
39(8),164167.32,,1.56,,,
25(9),1552.76,,0.75,,,
23(3),1543.02,,0.83,,,
33(6),39264.96,,0.92,,,
32(14),274905.2,,0.84,,,
32(7),26106.57,,1.58,,,
41(6),2576997.27,,1.92,,,
44(16),1778739.74,,2.15,,,
38(7),212596.07,,1.14,,,
38(7),146016.91,,1.82,,,
30(4),20448.72,,1.35,,,
43(10),2057809.31,,1.61,,,
28(5),10165.27,,0.63,,,
42(11),2053852.92,,1.55,,,
46(10),2197776.39,,2.82,,,
33(9),37139.67,,1.11,,,
38(5),773556.24,,1.82,,,
37(15),271711.7,,1.92,,,
45(13),3854105.22,,2.09,,,
35(3),209197.16,,1.7,,,
43(13),1045765.7,,1.16,,,
41(6),695027.81,,2.07,,,
40(13),707859.08,,1.56,,,
37(19),690430.72,,1.28,,,
46(6),16891983.51,,2.19,,,
