Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
4(0),0.11,1.19,,,,
3(0),0.06,1.25,,,,
4(1),0.1,3.0,,,,
4(0),0.08,0.81,,,,
5(0),0.2,2.3,,,,
4(0),0.08,0.92,,,,
4(1),0.1,1.77,,,,
4(1),0.11,2.46,,,,
5(1),0.21,3.15,,,,
5(1),0.16,1.86,,,,
4(1),0.13,1.63,,,,
5(0),0.18,1.22,,,,
5(1),0.17,2.2,,,,
7(1),0.19,2.93,,,,
5(1),0.18,3.12,,,,
8(1),0.4,3.2,,,,
8(2),0.53,1.56,,,,
6(2),0.2,1.28,,,,
10(1),2.14,2.28,,,,
8(1),0.4,1.01,,,,
9(0),1.79,1.18,,,,
11(0),5.28,1.07,,,,
9(2),0.69,1.64,,,,
11(3),2.11,6.9,,,,
10(2),1.95,1.87,,,,
10(3),1.86,4.15,,,,
13(3),5.36,3.68,,,,
12(0),4.31,1.86,,,,
5(1),0.16,1.71,,,,
9(1),1.04,1.09,,,,
4(0),0.11,0.86,,,,
7(1),0.17,1.19,,,,
14(2),10.99,2.56,,,,
9(2),0.82,1.56,,,,
17(3),19.06,4.02,,,,
13(5),11.53,30.5,,,,
8(1),0.42,3.08,,,,
13(1),5.49,2.3,,,,
17(1),120.54,2.79,,,,
14(3),4.82,7.86,,,,
13(1),4.52,2.59,,,,
15(2),9.01,2.39,,,,
16(4),8.02,12.0,,,,
14(1),11.25,5.18,,,,
16(4),10.69,17.53,,,,
16(7),56.9,133.4,,,,
3(0),0.06,0.95,,,,
18(3),58.99,4.08,,,,
19(1),118.23,2.1,,,,
18(3),111.9,3.39,,,,
16(4),22.71,3.34,,,,
15(5),20.61,16.19,,,,
3(0),0.05,0.62,,,,
25(4),1084.68,2.9,,,,
15(2),10.86,2.54,,,,
17(2),106.93,2.81,,,,
21(6),204.29,3.16,,,,
19(5),112.31,17.55,,,,
24(2),1235.78,4.81,,,,
20(5),95.6,15.38,,,,
19(3),47.87,2.57,,,,
23(6),518.36,66.89,,,,
11(1),2.63,1.56,,,,
24(6),374.01,76.44,,,,
24(6),443.7,19.43,,,,
25(3),2416.79,5.74,,,,
23(1),2386.93,1.74,,,,
22(7),533.05,158.54,,,,
22(7),185.27,78.73,,,,
31(5),6812.8,22.18,,,,
23(5),181.27,37.82,,,,
24(2),2507.2,6.72,,,,
28(5),2443.37,43.75,,,,
25(5),1120.52,19.12,,,,
28(12),3014.01,702.81,,,,
30(5),6060.74,56.44,,,,
27(9),4136.27,513.67,,,,
31(2),46586.13,5.6,,,,
28(2),13042.27,7.82,,,,
24(6),907.37,80.75,,,,
26(5),2128.7,9.4,,,,
31(7),3055.01,128.42,,,,
28(7),1673.1,60.53,,,,
24(2),565.81,10.38,,,,
32(11),19374.39,704.42,,,,
33(12),28943.89,3638.72,,,,
34(5),8898.61,47.56,,,,
