Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU,BDD-PATHS
3(0),0.08,,,,0.03,
3(0),0.05,,,,0.03,
4(1),0.11,,,,0.05,
5(1),0.18,,,,0.05,
4(0),0.13,,,,0.04,
3(0),0.07,,,,0.03,
5(0),0.3,,,,0.04,
6(0),0.19,,,,0.07,
4(1),0.11,,,,0.05,
4(1),0.19,,,,0.05,
7(1),0.21,,,,0.06,
5(1),0.17,,,,0.05,
3(0),0.1,,,,0.03,
8(0),0.9,,,,0.05,
8(2),0.41,,,,0.15,
4(1),0.09,,,,0.05,
5(1),0.33,,,,0.05,
5(1),0.33,,,,0.07,
4(1),0.16,,,,0.04,
11(1),3.99,,,,0.12,
8(0),1.51,,,,0.06,
4(1),0.21,,,,0.06,
5(0),0.27,,,,0.03,
8(3),1.06,,,,0.06,
13(2),6.97,,,,0.07,
13(2),6.15,,,,0.07,
5(1),0.25,,,,0.04,
4(1),0.15,,,,0.04,
4(0),0.13,,,,0.03,
14(1),14.84,,,,0.12,
13(2),13.57,,,,0.09,
12(2),2.94,,,,0.11,
13(3),6.27,,,,0.13,
9(2),1.31,,,,0.06,
5(0),0.22,,,,0.03,
9(1),1.29,,,,0.11,
11(0),6.43,,,,0.05,
15(4),11.35,,,,0.11,
13(2),5.22,,,,0.07,
16(2),23.18,,,,0.08,
8(1),1.25,,,,0.08,
20(4),55.46,,,,0.12,
15(5),13.83,,,,0.07,
15(2),24.14,,,,0.05,
17(3),45.79,,,,0.06,
16(6),19.21,,,,0.07,
13(0),12.59,,,,0.04,
18(4),62.75,,,,0.06,
19(2),118.23,,,,0.07,
11(2),1.03,,,,0.07,
21(5),246.51,,,,0.12,
21(1),541.79,,,,0.09,
17(3),22.95,,,,0.08,
19(4),52.69,,,,0.17,
20(2),523.91,,,,0.11,
4(1),0.17,,,,0.04,
22(4),523.75,,,,0.12,
19(2),132.7,,,,0.09,
23(4),1046.56,,,,0.12,
19(3),62.84,,,,0.11,
25(3),2618.61,,,,0.21,
21(7),201.23,,,,0.15,
12(1),2.19,,,,0.09,
12(0),5.48,,,,0.05,
12(2),4.98,,,,0.07,
24(4),583.82,,,,0.12,
26(6),4631.9,,,,0.14,
26(2),4760.24,,,,0.12,
13(3),2.28,,,,0.09,
22(4),208.92,,,,0.12,
18(3),100.91,,,,0.2,
27(4),2429.88,,,,0.15,
30(8),10876.49,,,,0.2,
23(2),1079.07,,,,0.11,
31(10),29573.79,,,,0.18,
31(13),6071.87,,,,0.2,
29(10),13615.0,,,,0.55,
26(6),2290.68,,,,0.13,
27(4),2355.75,,,,0.14,
29(3),7931.24,,,,0.13,
29(9),13962.46,,,,0.17,
17(0),60.43,,,,0.07,
27(5),4091.18,,,,0.15,
34(5),29242.07,,,,0.17,
30(2),36379.71,,,,0.14,
33(14),16943.67,,,,0.29,
31(11),18257.79,,,,0.23,
